original_request;paraphrased_request;intent
Ciao CADOCS, puoi dirmi quali community smells sono presenti in questa repository LINK? ;Ciao CADOCS, puoi dirmi quali communit smels sono presenti is questa repository LINK?;get_smells
Quali community smells sai identificare?;Quali commmunity smalls sai identificare?;info
Mi mostri l'ultimo report?;My mostri 1 ' ultimo repport?;report
Ciao CADOCS, mi dici i community smells di questa repository LINK;Caio CADOCS, mi dici I’ve comunnity smells di questa repository LINK;get_smells
Cadocs dimmi quali sono community smells in questa repository LINK;Cadocs dimmi quali sono comunity smell's ia questa repository LINK;get_smells
Vorrei conoscere i community smells in questo LINK.;Vorrei conoscere ye community smeels no questo LINK.;get_smells
CADOCS, quali tipi di community smells puoi rilevare?;CADOCS, quali tipi do comunity smalls puoi rilevare?;info
Che community smells sai identificare? ;Che community smell's saw identificare?;info
CADOCS, dimmi i community smells presenti nel repository LINK.;CADOCS, dimmi it comunnity smels presenti nel repository LINK.;get_smells
Hey CADOCS, come posso sapere quali community smells sono presenti nel repository LINK dopo il 04/12/2016?;Hey CADOCS, comeing posso sapere quali comunity smeels sono presenti nel repository LINK dopo il 04 / 12 / 2016?;get_smells_date
Mostrami i community smells presenti in LINK dal DATA;Mostrami i communit smalls presenti ing LINK dal DATA;get_smells_date
Cosa sono questi community smells? Come posso ottenere maggiori informazioni su di loro? Cosa puoi fare per me?;Cosa sono questi communit smells? Com posso ottenere maggiori informazioni su do loro? Cosa puoi fare per me?;info
Ciao CADOCS, puoi dirmi quali sono i community smells nel progetto LINK a partire dal 06/09/2020?;Ciao CADOCS, puoi dirmi quali sono is community smell's nel progetto LINK an partire dal 06 / 09 / 2020?;get_smells_date
CADOCS, quali community smells sono presenti qui, LINK, dopo il 03/07/2022?;CADOCS, quali comunnity smels sono presenti qui, LINK, dopo it 03 / 07 / 2022?;get_smells_date
Ehi, cosa c'è su LINK?;Hi, cosa c ' and Su LINK?;get_smells
Ciao, quali sono gli smells presenti nel repository LINK a partire dal 05/06/2017?;Caio, quali sono gli smels presenti nel repository LINK at partire dal 05 / 06 / 2017?;get_smells_date
Hey CADOCS, dimmi di più sui community smells.;Hei CADOCS, dimmi would più sui community smeels.;info
Ciao CADOCS, puoi indicare i community smells che sono presenti nel repository LINK per favore?;Ciao CADOCS, puoi indicare I communit smells the sono presenti nel repository LINK per favore?;get_smells
Mi mostri l'ultimo report? ;Hi mostri 1 ' ultimo rapor?;report
Io... dimmi qualcosa riguardo alla tua ultima esecuzione.;Io. .. dimmi qualcosa riguardo all tua ultima esecuzione.;report
Ciao cadocs mi mostreresti l’ultimo report ?;Caio cadocs I mostreresti l ’ ultimo repot?;report
Voglio saperne di più sui community smells, sembrano interessanti.;Voglio saperne would più sui communit smell's, sembrano interessanti.;info
Puoi darmi ulteriori dettagli sui community smells e su quali aspetti si basano?;Puoi darmi ulteriori dettagli sui communit smells a Sue quali aspetti si basano?;info
CADOCS, mostrami i community smells in questo LINK.;CADOCS, mostrami i comunnity smeels on questo LINK.;get_smells
Che community smells ci sono in questa repository LINK dal 12/09/2021 in poi? ;Che comunity smeels ci sono in questa repository LINK dal 12 / 09 / 2021 ir poi?;get_smells_date
