hey CADOCS i wanna know more about community smells;info
What kind of community smells can you detect? ;info
Hi CADOCS show me all kind of community you detect;info
Hi, do you know what are community smells?;info
hey CADOCS tell me somethings  about community smells;info
Hey CADOCS, what kind of community smells can you detect? ;info
I wanna know more about community smells, it seems interesting;info
hey CADOCS, can you show me some informations about community smells that you can detect?;info
Could you tell me more about community smells and which ones you can detect?;info
CADOCS, What community smells have you detected?;info
